Id,LotFrontage,LotArea,OverallQual,MasVnrArea,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,GrLivArea,KitchenQual,OpenPorchSF,SalePrice,PropertyAge,TotalBedsNBaths,GarageCarsNArea,HasFireplace,HasWoodDeck,GarageAttached,FoundationPConc,FoundationCBlock,FoundationBrkTil,NH_NAmes,NH_CollgCr,NH_OldTown,NH_Others,HouseStyle_1Story,HouseStyle_2Story
2819,67.0,8877,4,0.0,3,2,836.0,3,1220,3,0,102000,55,7.0,792.0,0,0,0.0,0,1,0,0,0,0,1,1,0
2490,88.0,8471,6,46.0,3,4,506.0,3,1212,3,12,151000,29,8.0,984.0,1,1,1.0,0,1,0,0,0,0,1,0,0
848,67.0,9808,7,110.0,4,4,1573.0,5,1573,4,72,227000,7,9.0,1088.0,0,0,1.0,1,0,0,0,1,0,0,1,0
1365,62.0,7006,6,0.0,3,3,768.0,3,1236,3,0,127000,83,9.0,384.0,1,0,0.0,1,0,0,0,0,0,1,0,0
1481,63.0,8199,7,0.0,4,4,728.0,5,1456,4,18,189000,3,11.0,820.0,1,1,1.0,1,0,0,0,1,0,0,0,1
1226,80.0,9600,5,0.0,3,3,572.0,4,1337,4,192,141500,58,9.0,264.0,1,0,1.0,0,1,0,1,0,0,0,1,0
2273,69.28709055876686,11800,7,94.0,4,4,1122.0,5,2486,4,32,279900,4,15.0,904.0,1,1,0.0,1,0,0,0,0,0,1,0,1
2444,84.0,9660,8,242.0,4,4,1044.0,5,1976,4,31,286000,8,11.0,2655.0,1,1,1.0,1,0,0,0,0,0,1,0,1
2286,21.0,1504,4,0.0,3,3,546.0,3,1092,3,0,85500,35,7.0,253.0,0,0,1.0,0,1,0,0,0,0,1,0,1
2481,50.0,7175,6,0.0,4,4,1398.0,4,1398,4,46,172000,16,8.0,1084.0,0,0,1.0,1,0,0,0,0,0,1,1,0
423,104.0,13518,9,860.0,5,5,1926.0,5,3140,5,78,485000,1,15.0,2460.0,1,1,0.0,1,0,0,0,0,0,1,0,1
1213,85.0,9350,5,0.0,3,3,1219.0,4,1265,4,92,179900,43,9.0,1004.0,1,0,1.0,1,0,0,1,0,0,0,0,0
811,64.0,7018,5,0.0,3,3,0.0,3,1535,3,0,118858,30,10.0,800.0,0,0,1.0,0,0,0,0,0,0,1,1,0
23,69.28709055876686,7500,7,0.0,4,4,814.0,5,1674,4,96,216000,10,11.0,1326.0,0,0,1.0,1,0,0,0,0,0,1,0,1
1759,58.0,9487,6,0.0,3,4,915.0,5,1690,3,50,187000,7,11.0,884.0,1,0,1.0,1,0,0,0,0,0,1,0,1
2535,78.0,9360,6,203.0,3,3,976.0,3,976,4,0,157500,38,6.0,1008.0,1,1,1.0,0,1,0,1,0,0,0,1,0
1004,100.0,10839,6,0.0,3,4,926.0,5,1604,3,36,181000,11,10.0,940.0,1,0,1.0,1,0,0,0,0,0,1,0,1
1899,70.0,9842,4,0.0,3,3,0.0,3,1224,3,0,101800,45,8.0,924.0,0,0,0.0,0,0,0,1,0,0,0,1,0
2783,50.0,8340,6,62.0,3,4,675.0,3,1388,3,36,157500,29,8.0,317.0,0,1,1.0,0,1,0,0,1,0,0,0,1
1111,92.0,11932,8,186.0,4,4,1580.0,5,1580,4,24,235128,1,9.0,2490.0,0,0,1.0,1,0,0,0,0,0,1,1,0
1264,69.28709055876686,10920,6,212.0,3,3,1253.0,3,1253,3,213,157000,48,8.0,352.0,1,0,1.0,0,1,0,1,0,0,0,1,0
846,70.0,8750,6,120.0,3,4,928.0,5,1772,3,96,200000,11,11.0,984.0,1,1,1.0,1,0,0,0,1,0,0,0,1
824,68.0,10769,8,0.0,4,4,866.0,5,1768,4,105,212000,2,10.0,1156.0,0,1,1.0,1,0,0,0,1,0,0,0,1
603,69.28709055876686,9450,4,160.0,3,3,1040.0,3,1362,3,0,140000,52,8.0,2304.0,1,0,1.0,0,1,0,1,0,0,0,1,0
2365,24.0,2760,6,514.0,3,3,525.0,3,1092,3,0,105500,33,8.0,880.0,0,0,0.0,0,1,0,0,0,0,1,0,1
1870,78.0,10530,7,194.0,4,4,1148.0,5,2075,4,86,255000,14,12.0,946.0,1,1,1.0,1,0,0,0,0,0,1,0,1
2586,75.0,10170,6,522.0,3,3,216.0,3,1575,4,0,155000,55,7.0,800.0,1,0,1.0,0,1,0,1,0,0,0,1,0
1703,134.0,16659,8,0.0,4,4,1582.0,5,2152,4,368,260116,0,10.0,1456.0,1,0,0.0,1,0,0,0,0,0,1,0,1
2250,71.0,9187,6,0.0,3,3,1084.0,3,1080,3,0,134000,24,7.0,968.0,0,1,1.0,1,0,0,0,0,0,1,1,0
1003,39.0,5070,8,0.0,4,4,1280.0,5,1280,4,82,180000,16,7.0,1012.0,0,0,1.0,1,0,0,0,0,0,1,1,0
604,69.28709055876686,13495,5,70.0,3,3,1048.0,2,1728,3,99,177625,53,10.0,1152.0,1,0,0.0,0,1,0,1,0,0,0,1,0
1026,80.0,10400,7,280.0,3,4,738.0,3,2044,3,73,185000,28,10.0,978.0,1,1,1.0,0,1,0,0,0,0,1,0,1
1800,112.0,12217,8,96.7822514379622,4,5,955.0,5,1880,5,127,310013,0,12.0,2640.0,1,1,1.0,1,0,0,0,0,0,1,0,1
1402,73.0,39104,7,0.0,3,4,1385.0,5,1363,3,0,241500,54,7.0,878.0,1,1,1.0,0,1,0,0,0,0,1,1,0
1135,63.0,13072,6,126.0,3,4,1175.0,5,1175,4,90,146000,3,8.0,0.0,0,0,0.0,1,0,0,0,0,0,1,1,0
1067,92.0,10845,8,504.0,4,4,1603.0,5,1575,4,28,284000,5,10.0,2196.0,1,1,1.0,1,0,0,0,0,0,1,1,0
201,51.0,6120,6,0.0,3,2,1124.0,3,1068,3,0,109500,87,7.0,288.0,1,0,0.0,0,0,1,0,0,1,1,1,0
2068,70.0,6960,7,0.0,3,3,680.0,5,1302,4,0,165250,67,8.0,224.0,1,0,1.0,0,0,1,0,0,0,1,0,0
1504,74.0,6845,4,58.0,3,3,0.0,3,1152,3,0,82500,53,8.0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0
1422,69.28709055876686,14171,7,0.0,4,4,812.0,5,2200,4,98,225000,15,12.0,906.0,1,1,1.0,1,0,0,0,0,0,1,0,1
232,60.0,9600,4,0.0,3,4,1067.0,3,1067,4,0,128000,60,6.0,872.0,0,1,1.0,0,1,0,0,0,0,1,1,0
1925,80.0,9736,6,289.0,3,3,1331.0,4,1721,3,0,174850,50,9.0,928.0,1,0,1.0,0,1,0,1,0,0,0,1,0
2572,109.0,9723,6,332.0,3,3,1008.0,3,1008,3,0,135000,43,6.0,860.0,0,0,1.0,0,1,0,1,0,0,0,1,0
1016,69.28709055876686,40000,6,44.0,3,3,1488.0,4,1488,3,0,133000,58,9.0,1476.0,1,0,1.0,0,1,0,0,0,0,1,1,0
1346,52.0,6240,7,0.0,3,3,989.0,3,2009,3,20,150000,69,9.0,800.0,1,0,0.0,0,0,1,0,0,0,1,0,0
2073,69.28709055876686,11075,6,136.0,3,4,1190.0,5,1522,3,77,182000,23,9.0,1104.0,1,0,1.0,1,0,0,0,0,0,1,1,0
853,60.0,8430,5,136.0,3,4,1040.0,3,1040,3,0,124000,31,7.0,0.0,0,0,0.0,0,1,0,0,1,0,0,1,0
619,80.0,9600,6,238.0,3,3,1416.0,3,1644,3,0,167000,56,9.0,836.0,1,1,1.0,0,1,0,1,0,0,0,1,0
287,66.0,6858,6,0.0,3,4,806.0,3,1647,2,66,128000,95,9.0,216.0,0,0,0.0,1,0,0,0,0,0,1,0,1
2153,69.28709055876686,12728,8,256.0,4,4,1531.0,5,2439,4,121,275000,6,11.0,1120.0,1,1,1.0,1,0,0,0,1,0,0,0,1
2714,74.0,7844,6,203.0,3,3,672.0,3,1400,3,0,149500,28,8.0,880.0,1,0,1.0,0,1,0,0,0,0,1,0,1
2088,50.0,7550,4,0.0,2,3,951.0,2,1362,3,0,96000,87,9.0,280.0,0,0,0.0,0,0,1,0,0,0,1,0,0
1399,69.28709055876686,2887,6,0.0,3,4,1291.0,5,1291,4,0,173000,12,8.0,862.0,1,1,1.0,1,0,0,0,0,0,1,1,0
1177,24.0,2645,8,456.0,4,4,960.0,5,1607,4,0,200000,9,11.0,960.0,0,1,0.0,1,0,0,0,0,0,1,0,1
76,50.0,8012,6,0.0,3,4,923.0,3,923,3,0,143000,30,7.0,264.0,1,1,1.0,0,1,0,0,0,0,1,1,0
2780,65.0,14006,7,144.0,4,4,936.0,5,1776,4,96,192500,4,10.0,948.0,1,1,1.0,1,0,0,0,1,0,0,0,1
1681,69.28709055876686,4928,6,0.0,3,4,1078.0,3,958,3,205,128000,31,7.0,880.0,1,0,1.0,0,1,0,0,0,0,1,1,0
445,85.0,10655,8,296.0,4,4,3206.0,5,1629,4,0,284000,6,10.0,2640.0,1,0,1.0,1,0,0,0,0,0,1,1,0
913,64.0,8574,6,0.0,4,3,816.0,5,1232,4,0,147500,93,7.0,880.0,1,0,0.0,0,0,1,0,0,0,1,1,0
434,107.0,13891,9,424.0,5,5,1734.0,5,2822,5,170,582933,1,16.0,3060.0,1,1,0.0,1,0,0,0,0,0,1,0,1
1090,69.28709055876686,8010,7,0.0,4,4,840.0,5,1720,4,48,188000,6,10.0,800.0,1,1,0.0,1,0,0,0,0,0,1,0,1
2187,52.0,8741,5,0.0,3,3,1195.0,3,1195,3,0,98500,61,10.0,0.0,0,1,0.0,0,1,0,0,0,0,1,1,0
443,74.0,8834,9,216.0,4,5,1462.0,5,2224,5,0,350000,5,14.0,2214.0,1,1,1.0,1,0,0,0,0,0,1,0,1
1587,79.0,11449,8,0.0,4,4,1884.0,5,1728,4,276,298751,1,10.0,1040.0,1,0,1.0,1,0,0,0,0,0,1,1,0
2579,69.0,14850,5,0.0,3,3,1092.0,3,1092,3,0,141000,49,8.0,299.0,1,1,1.0,0,1,0,1,0,0,0,1,0
2121,65.0,8775,5,0.0,3,4,990.0,4,990,3,64,126000,13,6.0,299.0,0,0,1.0,1,0,0,0,1,0,0,1,0
883,64.0,8633,6,0.0,4,4,738.0,5,1476,4,35,173500,4,11.0,1080.0,0,1,1.0,1,0,0,0,1,0,0,0,1
657,60.0,10800,5,0.0,3,3,676.0,5,1352,4,0,149000,70,10.0,1440.0,0,1,0.0,0,0,1,0,0,1,1,0,1
185,60.0,10800,5,0.0,3,2,686.0,3,1652,3,0,139000,95,10.0,416.0,0,0,0.0,1,0,0,0,0,1,1,0,0
1193,73.0,8814,5,0.0,3,3,732.0,5,1464,3,40,141000,40,9.0,940.0,0,0,1.0,0,1,0,1,0,0,0,0,1
517,75.0,7862,6,0.0,4,4,1218.0,5,1218,4,102,208300,0,6.0,1352.0,0,0,1.0,1,0,0,0,0,0,1,1,0
2729,72.0,10820,5,153.0,3,4,782.0,5,810,3,0,130000,35,6.0,1152.0,0,0,0.0,1,0,0,0,0,0,1,0,0
1487,67.0,8777,5,0.0,3,3,1272.0,4,2200,3,70,145900,108,15.0,0.0,0,0,0.0,0,1,0,0,0,0,1,0,0
1321,75.0,13500,10,0.0,5,3,1237.0,4,2775,4,502,325000,115,13.0,1760.0,1,1,0.0,0,0,1,0,0,1,1,0,0
2453,92.0,10120,8,391.0,4,4,1165.0,5,2526,4,78,290000,12,12.0,2532.0,1,1,1.0,1,0,0,0,0,0,1,0,1
1036,68.0,10295,4,72.0,3,4,936.0,3,936,3,0,111900,39,5.0,288.0,0,1,1.0,0,1,0,1,0,0,0,1,0
714,60.0,9600,4,0.0,4,2,677.0,3,1510,4,0,87500,99,9.0,1440.0,0,0,0.0,0,0,1,0,0,1,1,0,1
2385,120.0,14780,9,568.0,5,5,1868.0,5,1868,5,56,415000,1,10.0,3255.0,1,1,1.0,1,0,0,0,0,0,1,1,0
435,95.0,11578,9,302.0,5,5,1736.0,5,1736,5,90,360000,1,9.0,2502.0,1,1,1.0,1,0,0,0,0,0,1,1,0
2166,64.0,8333,7,0.0,4,4,738.0,4,1491,4,30,168675,1,10.0,968.0,1,1,1.0,1,0,0,0,1,0,0,0,1
1821,70.0,7420,5,0.0,3,3,1057.0,3,1057,3,0,132000,45,7.0,1152.0,0,0,0.0,0,1,0,0,0,0,1,1,0
2866,70.0,12320,7,0.0,3,3,637.0,5,1609,4,0,199500,74,10.0,1737.0,1,0,0.0,0,0,1,0,0,0,1,0,1
250,64.0,10475,8,72.0,4,4,1694.0,5,1694,4,33,245350,2,9.0,2328.0,0,1,1.0,1,0,0,0,1,0,0,1,0
882,63.0,8487,7,210.0,4,4,1500.0,5,1500,4,36,190000,5,8.0,1140.0,0,1,1.0,1,0,0,0,1,0,0,1,0
365,99.0,11851,7,0.0,3,4,1424.0,5,1442,3,34,180500,19,7.0,1000.0,0,0,1.0,1,0,0,0,0,0,1,1,0
1105,69.28709055876686,11929,8,466.0,4,4,1242.0,5,2501,4,87,290000,13,12.0,2253.0,1,1,1.0,1,0,0,0,0,0,1,0,1
590,69.28709055876686,13774,7,283.0,3,4,908.0,5,2288,4,72,230000,32,11.0,1040.0,1,1,1.0,1,0,0,0,0,0,1,0,1
2803,37.0,4435,6,170.0,4,4,848.0,5,848,4,0,133000,3,6.0,840.0,0,1,1.0,1,0,0,0,1,0,0,1,0
955,82.0,11070,5,0.0,3,4,1582.0,3,1595,3,0,152000,18,8.0,1344.0,0,0,0.0,1,0,0,0,0,0,1,1,0
754,50.0,3000,5,0.0,3,3,1040.0,3,2128,3,56,62500,87,13.0,0.0,0,0,0.0,0,0,1,0,0,1,1,0,1
2126,70.0,16561,5,0.0,3,4,1097.0,5,1097,3,0,147900,11,9.0,242.0,0,1,1.0,1,0,0,0,1,0,0,1,0
937,69.28709055876686,13607,6,242.0,3,3,572.0,4,1982,3,112,208000,23,10.0,1002.0,1,1,0.0,0,1,0,0,0,0,1,0,0
1520,60.0,7290,7,174.0,3,3,1228.0,5,1424,3,0,168000,87,9.0,312.0,1,0,1.0,0,0,1,0,0,0,1,1,0
1886,74.0,7450,5,0.0,3,3,894.0,4,1074,4,72,124000,51,7.0,792.0,1,0,0.0,0,1,0,1,0,0,0,1,0
151,119.0,10895,5,0.0,3,3,972.0,3,972,3,0,122500,55,6.0,305.0,0,0,1.0,0,1,0,1,0,0,0,1,0
491,69.28709055876686,15896,7,210.0,4,4,1177.0,5,2312,4,0,245000,10,12.0,1974.0,1,1,0.0,1,0,0,0,0,0,1,0,1
1909,79.0,9492,5,0.0,3,3,768.0,3,1376,3,0,105000,66,8.0,240.0,1,0,1.0,0,1,0,1,0,0,0,0,0
1088,59.0,9587,7,182.0,4,4,856.0,5,1166,4,0,190000,3,8.0,800.0,0,1,1.0,1,0,0,0,0,0,1,0,0
1176,24.0,2645,8,466.0,4,4,960.0,5,1586,4,0,170000,9,11.0,960.0,0,1,0.0,1,0,0,0,0,0,1,0,1
2133,72.0,10665,7,167.0,4,4,1453.0,5,1479,4,29,226000,4,10.0,1116.0,0,1,1.0,1,0,0,0,1,0,0,1,0
2129,47.0,10820,7,0.0,4,4,988.0,5,1873,4,123,235500,8,10.0,1194.0,1,1,1.0,1,0,0,0,1,0,0,0,1
1037,63.0,7560,5,0.0,3,4,864.0,3,864,3,0,123000,37,7.0,1152.0,0,0,0.0,0,1,0,1,0,0,0,1,0
2477,74.0,7632,7,96.0,4,4,784.0,5,1585,4,77,184900,1,10.0,898.0,0,1,1.0,1,0,0,0,0,0,1,0,1
2496,69.28709055876686,8020,5,0.0,3,3,912.0,3,912,3,0,124000,42,7.0,0.0,0,0,0.0,0,1,0,0,0,0,1,1,0
2208,53.0,5362,5,0.0,3,3,661.0,5,1250,3,0,139000,97,10.0,1104.0,1,1,0.0,1,0,0,0,0,0,1,0,0
2472,91.0,11024,7,118.0,4,4,1400.0,5,1400,4,55,186800,1,8.0,1224.0,0,1,1.0,1,0,0,0,0,0,1,1,0
2455,75.0,12447,8,192.0,4,4,1100.0,5,1964,4,70,252000,1,11.0,1520.0,1,1,0.0,1,0,0,0,0,0,1,0,1
694,68.0,4080,6,0.0,3,3,901.0,4,1378,4,0,128900,74,7.0,162.0,0,1,0.0,1,0,0,0,0,1,1,0,0
2897,50.0,8049,7,54.0,3,4,1309.0,3,1339,3,58,180000,16,9.0,968.0,1,0,1.0,0,1,0,0,0,0,1,1,0
490,62.0,7750,7,0.0,3,4,384.0,5,1430,3,0,156000,10,10.0,800.0,1,0,0.0,1,0,0,0,0,0,1,0,0
1198,87.0,9246,5,564.0,3,3,1656.0,3,1656,3,211,135000,35,10.0,1012.0,0,0,0.0,0,1,0,0,0,0,1,1,0
269,69.28709055876686,4435,6,170.0,4,4,848.0,5,848,4,0,143750,7,6.0,840.0,0,1,1.0,1,0,0,0,1,0,0,1,0
209,69.28709055876686,24090,7,0.0,3,3,1032.0,5,2403,3,0,244400,70,12.0,349.0,1,1,1.0,0,1,0,0,0,0,1,0,1
588,80.0,9600,5,128.0,3,4,1288.0,3,1336,3,11,163000,40,9.0,1004.0,1,1,1.0,0,1,0,0,0,0,1,1,0
2014,69.28709055876686,6240,6,0.0,3,3,861.0,4,1409,3,0,126000,69,9.0,1056.0,1,1,0.0,0,0,1,0,0,0,1,0,0
1410,120.0,13728,6,0.0,3,3,1127.0,5,2108,4,0,235000,73,9.0,1080.0,1,0,0.0,0,1,0,0,0,0,1,0,1
1087,62.0,7415,6,0.0,3,3,839.0,5,1593,3,75,193000,4,12.0,796.0,1,1,1.0,1,0,0,0,0,0,1,0,1
1881,69.28709055876686,12342,5,0.0,3,3,978.0,3,1422,3,0,139900,47,7.0,286.0,1,0,1.0,0,1,0,1,0,0,0,1,0
1636,86.0,14157,9,200.0,4,5,1922.0,5,1922,4,51,377426,2,11.0,2028.0,1,1,1.0,1,0,0,0,0,0,1,1,0
338,63.0,10475,5,0.0,3,4,624.0,4,1274,3,0,136000,19,8.0,1152.0,0,1,0.0,1,0,0,0,0,0,1,0,1
710,50.0,5925,3,0.0,3,3,600.0,2,968,3,0,37900,99,7.0,0.0,0,0,0.0,0,0,1,0,0,1,1,0,0
104,69.28709055876686,2403,7,0.0,4,4,530.0,5,1080,4,50,147110,7,7.0,992.0,0,0,1.0,1,0,0,0,0,0,1,0,1
2609,83.0,10184,6,379.0,3,3,1083.0,3,1146,3,75,165000,43,8.0,294.0,1,1,1.0,0,1,0,1,0,0,0,0,0
2140,75.0,9675,5,0.0,3,3,864.0,3,879,3,80,120000,32,6.0,880.0,0,0,1.0,0,1,0,0,1,0,0,1,0
980,21.0,2217,4,0.0,3,3,546.0,3,1092,3,0,88000,39,8.0,286.0,0,1,1.0,0,1,0,0,0,0,1,0,1
902,69.28709055876686,8926,4,0.0,3,3,672.0,5,960,3,0,112000,53,6.0,288.0,0,1,0.0,0,1,0,0,0,0,1,1,0
